Time(s),Voltage(V)
-4.009999999999999723e-06,0.000000000000000000e+00
-3.999999999999999819e-06,4.000000000000000083e-02
-3.989999999999999915e-06,4.000000000000000083e-02
-3.980000000000000010e-06,4.000000000000000083e-02
-3.970000000000000106e-06,8.000000000000000167e-02
-3.960000000000000202e-06,4.000000000000000083e-02
-3.950000000000000298e-06,0.000000000000000000e+00
-3.940000000000000393e-06,4.000000000000000083e-02
-3.930000000000000489e-06,8.000000000000000167e-02
-3.919999999999999738e-06,0.000000000000000000e+00
-3.909999999999999834e-06,0.000000000000000000e+00
-3.899999999999999929e-06,4.000000000000000083e-02
-3.890000000000000025e-06,0.000000000000000000e+00
-3.880000000000000121e-06,-4.000000000000000083e-02
-3.870000000000000217e-06,0.000000000000000000e+00
-3.860000000000000312e-06,-4.000000000000000083e-02
-3.850000000000000408e-06,4.000000000000000083e-02
-3.840000000000000504e-06,8.000000000000000167e-02
-3.829999999999999753e-06,-4.000000000000000083e-02
-3.819999999999999848e-06,0.000000000000000000e+00
-3.809999999999999944e-06,0.000000000000000000e+00
-3.800000000000000040e-06,4.000000000000000083e-02
-3.790000000000000136e-06,8.000000000000000167e-02
-3.780000000000000231e-06,4.000000000000000083e-02
-3.769999999999999904e-06,4.000000000000000083e-02
-3.759999999999999999e-06,1.199999999999999956e-01
-3.750000000000000095e-06,4.000000000000000083e-02
-3.740000000000000191e-06,-4.000000000000000083e-02
-3.730000000000000286e-06,0.000000000000000000e+00
-3.719999999999999959e-06,4.000000000000000083e-02
-3.710000000000000054e-06,4.000000000000000083e-02
-3.700000000000000150e-06,0.000000000000000000e+00
-3.690000000000000246e-06,4.000000000000000083e-02
-3.679999999999999918e-06,4.000000000000000083e-02
-3.670000000000000014e-06,4.000000000000000083e-02
-3.660000000000000110e-06,4.000000000000000083e-02
-3.650000000000000205e-06,1.199999999999999956e-01
-3.639999999999999878e-06,8.000000000000000167e-02
-3.629999999999999973e-06,0.000000000000000000e+00
-3.620000000000000069e-06,4.000000000000000083e-02
-3.610000000000000165e-06,4.000000000000000083e-02
-3.600000000000000261e-06,0.000000000000000000e+00
-3.589999999999999933e-06,8.000000000000000167e-02
