S0,S1,S2,S3
8.639924672892510538e-01,4.310742120570722480e-01,-2.112260340630701672e-01,3.383878302484889800e-02
8.630122131782226313e-01,4.289800276869483731e-01,-2.034829438667150325e-01,4.889050833630353976e-02
8.643429697821319868e-01,4.175175186825652029e-01,-2.103186367623587072e-01,5.406124085753552522e-02
8.623275134004191322e-01,3.998553521161942181e-01,-2.180855015403908581e-01,5.713729022916975292e-02
8.619995444178782940e-01,3.837434451028416404e-01,-2.127549031763490139e-01,6.947918861313756578e-02
8.603591194503072970e-01,3.776912074825100607e-01,-2.210403969472929109e-01,7.260470223027075398e-02
8.583956495469401426e-01,3.561202872843484135e-01,-2.376381865002154536e-01,7.261265162850567834e-02
8.570170233770224577e-01,3.434043636384322973e-01,-2.286486878970278025e-01,6.433992946013461500e-02
8.581351161149354256e-01,3.438746777398821730e-01,-1.990526296794907501e-01,7.990604595473722871e-02
8.613936061818419088e-01,3.423721018095783331e-01,-2.090406050173843344e-01,8.640204515035909694e-02
8.581008477572925619e-01,3.072231851278175996e-01,-2.189871047070678922e-01,8.288272447896151418e-02
8.595786689894490129e-01,2.942306151327688246e-01,-2.307136029671248978e-01,8.377812587754246421e-02
8.590610451321998298e-01,2.860377271295717061e-01,-2.165550787433034030e-01,9.860609616515238207e-02
8.558584206272655814e-01,2.574886159665506491e-01,-2.235384896551941003e-01,8.999957290718053893e-02
8.610769337170782745e-01,2.513617383496840052e-01,-2.108057563132078871e-01,8.959508400521075389e-02
8.554391256591158399e-01,2.357475714402869349e-01,-2.186075936772662598e-01,9.652971237729041087e-02
8.571408097888044697e-01,2.170756846662721673e-01,-2.174486368638182954e-01,8.190443108591294319e-02
8.582349440517443862e-01,2.017822451632974023e-01,-2.071073820534558296e-01,7.433245469901218760e-02
8.566804003038475113e-01,1.998628547644094311e-01,-1.870735946533700900e-01,7.931541941294531495e-02
8.608348760090890339e-01,1.893605914036851079e-01,-1.982374879367103937e-01,7.770763595296605042e-02
8.517799687808871312e-01,1.666835837357315553e-01,-1.893660704358352820e-01,8.354627905384411080e-02
8.538877437464403863e-01,1.554644969884498851e-01,-2.075290578957993959e-01,7.784099596396097664e-02
8.551460584216384886e-01,1.521133019104392581e-01,-1.806200987871402486e-01,7.769559307829629335e-02
8.577067454057633045e-01,1.315057278340426294e-01,-1.989228178581703976e-01,6.758516941263367772e-02
8.585473295727901188e-01,1.041168054619451833e-01,-1.717511602911434843e-01,6.642108140580979536e-02
8.531135491436295792e-01,1.097662862241843285e-01,-1.731835037778846065e-01,5.202646175151408314e-02
8.541719490114489943e-01,8.788022434294003038e-02,-1.635139345513086651e-01,4.513267072978496830e-02
8.570050532030528689e-01,7.736189766080087127e-02,-1.692754224638026994e-01,5.338099684600877692e-02
8.584503028605628971e-01,6.587093029505154684e-02,-1.526148114375353582e-01,2.747183686633803204e-02
8.532571729398883420e-01,4.903686959885193014e-02,-1.449023809697618514e-01,3.726086215506569516e-02
8.541607635778536434e-01,6.045000182397214372e-02,-1.304482478906751342e-01,2.421541811808423927e-02
8.527639106253228629e-01,5.384627328893778347e-02,-1.148228548684424866e-01,2.020858233030922366e-02
8.492305925907074338e-01,4.649824373126823507e-02,-1.376720030894757474e-01,-2.863194389943388672e-03
8.526475915716806853e-01,2.810256736796112528e-02,-1.158657595879457464e-01,-2.626922366405058055e-03
8.475767498302649861e-01,1.494904197165474423e-02,-1.096664692894678411e-01,-1.349356612398804924e-02
8.472849186639364039e-01,8.090197621404667666e-03,-1.175701580878545927e-01,-2.812857342678510772e-02
8.546162859739107054e-01,1.017704896331448478e-02,-9.007127706743962847e-02,-2.034353248411976262e-02
8.540012452333849424e-01,5.686012931925663212e-03,-8.600364172308641586e-02,-3.590472966210196681e-02
8.572351001761446820e-01,5.866494910674625862e-04,-7.535425491186924229e-02,-4.572235777066201157e-02
8.504313608717076756e-01,-6.826571682958046915e-03,-8.340922876816714293e-02,-5.760669901118455755e-02
8.463804704030170045e-01,-1.832982074143913939e-02,-8.468631686648174506e-02,-6.984565444780328758e-02
8.506697980555157912e-01,-1.577694015424474863e-02,-6.160551896956647372e-02,-8.967629748990345318e-02
8.504689395301190391e-01,-1.772606335357089849e-02,-5.042945236842208412e-02,-7.593818963130856414e-02
8.518186587834467582e-01,-2.364479558415939417e-02,-4.017007308651739800e-02,-1.058461359962371423e-01
8.477321192044117160e-01,-2.469079130830427113e-02,-2.293085502324958280e-02,-1.016788619718913822e-01
8.517734895631745573e-01,-2.282614214513269471e-02,-3.813605659124723324e-02,-1.061503923498864077e-01
8.462214390221124427e-01,-3.752616329171848397e-02,-1.618060588785097051e-02,-1.275748025205143688e-01
8.527816616803169936e-01,-2.404403033530487857e-02,-1.979576171595536643e-02,-1.322563084588958826e-01
8.521044050611277232e-01,-3.280102715674036024e-02,6.790352936323800111e-03,-1.491318689603498560e-01
8.492561579554777085e-01,-1.940652211061736146e-02,8.057506208915470730e-03,-1.614174629068832467e-01
8.488325697296349448e-01,-2.297650752062615348e-02,1.761724631801541915e-02,-1.703569469286218552e-01
8.506183365648392058e-01,-1.238400033744463218e-02,1.988710269146858750e-02,-1.869192343251402100e-01
8.536005559183975633e-01,-2.198143248759269405e-02,2.850545756324553495e-02,-2.041228655499187361e-01
8.495126962357931744e-01,-2.189256431286043525e-02,1.159999781727232698e-02,-2.044188079156945004e-01
8.534306224348718883e-01,-6.468395020824301532e-03,3.236086359168364318e-02,-2.197717927361524937e-01
8.508229386840414632e-01,4.847043121567264383e-04,4.958080736799704707e-02,-2.168592968340911364e-01
8.521400823048888018e-01,1.190753767433232364e-02,5.416329159016348288e-02,-2.247485362528615083e-01
8.505281507535797925e-01,1.617813032373787568e-02,5.910585987109124445e-02,-2.440623451988944703e-01
8.583958976829227927e-01,2.641667668255414519e-02,6.513874370553612847e-02,-2.431347451167125695e-01
8.589242363592807239e-01,3.994493068269781150e-02,7.881178966303786781e-02,-2.637336115586624841e-01
8.486437085879484643e-01,3.646417082661326109e-02,8.899239361839882123e-02,-2.587676262854686771e-01
8.519314841154012052e-01,5.236423977904249016e-02,7.584805027309483860e-02,-2.785048076222870761e-01
8.526321830190167761e-01,5.458518273862843218e-02,8.181242712461099520e-02,-2.924434517629250774e-01
8.560163923152015464e-01,7.972040942724191448e-02,8.035485062306607640e-02,-2.983634931096393883e-01
8.535273485046318553e-01,8.726780774661421769e-02,8.073029918376513347e-02,-3.041079773087780325e-01
8.543970049321563121e-01,8.745005783912175590e-02,9.722410850599416676e-02,-3.069257187912285412e-01
8.554445772998467978e-01,1.056684988108333861e-01,9.651510760552681201e-02,-3.153413237595965035e-01
8.545809516998011945e-01,1.266584241665036359e-01,8.442684090644630990e-02,-3.228983162041598187e-01
8.554566238316504423e-01,1.356550183819134892e-01,1.089771508269851835e-01,-3.281921710934809222e-01
8.584829162253457824e-01,1.508649449087450245e-01,1.169369246616397406e-01,-3.174737907657175229e-01
8.549856224232206259e-01,1.568060962780508383e-01,1.116873908287836920e-01,-3.325178629403732766e-01
8.564424187867568650e-01,1.787560758455935539e-01,1.223199507607723446e-01,-3.393792347354835925e-01
8.603685075940048499e-01,1.962628912844375240e-01,1.194649289595685199e-01,-3.252855278504107051e-01
8.576296748009468729e-01,1.966482357455963115e-01,1.049507774834462365e-01,-3.484131576331317426e-01
8.558628759555330090e-01,2.174322709570826462e-01,1.071875352570928336e-01,-3.363473054062449119e-01
8.563824628814241668e-01,2.311033246993891010e-01,1.143625983447424249e-01,-3.406264619485764866e-01
