S0,S1,S2,S3
1.055540939047348914e+00,5.103410669464045757e-01,1.096650116848845169e+00,2.869595208894133997e-01
1.054507426699300643e+00,5.000396925479210219e-01,1.098950975038210265e+00,2.803732343775018898e-01
1.054448284627492516e+00,4.906116675743373845e-01,1.106531269599789757e+00,2.723974384606442922e-01
1.053993792428471910e+00,4.823626713857471771e-01,1.115210918991800249e+00,2.611914542343989343e-01
1.053894635215709696e+00,4.750352686707771666e-01,1.122762987966534620e+00,2.515810433532332246e-01
1.050416415671447279e+00,4.641921602860558660e-01,1.117404608560907509e+00,2.419294482485270237e-01
1.048726832451617241e+00,4.556382805344997289e-01,1.118381604177765443e+00,2.301642580153637485e-01
1.048988114398086591e+00,4.496424727815653277e-01,1.127389946524169684e+00,2.229607861788878431e-01
1.048867024545006466e+00,4.451098770055382792e-01,1.132325976654739330e+00,2.120631926808205781e-01
1.045272068949748334e+00,4.346095076172745708e-01,1.123063733952708532e+00,1.991713200652268645e-01
1.044066996805500080e+00,4.253472918331975272e-01,1.119160865946740246e+00,1.880523714876042030e-01
1.042838952207660874e+00,4.161047503424923355e-01,1.114743825869903615e+00,1.747019823437046537e-01
1.038568440786396430e+00,4.079190942161877165e-01,1.105521353895490222e+00,1.612104934742423779e-01
1.034402365593130257e+00,3.960710619157677970e-01,1.091489527320482988e+00,1.486033166802067651e-01
1.033914916106456916e+00,3.921433202639851845e-01,1.089184783484793861e+00,1.361491635538866762e-01
1.030187506074444981e+00,3.838010080114606648e-01,1.077616869793941667e+00,1.212039402308657671e-01
1.026891469176420379e+00,3.787468178677862451e-01,1.069759441223121721e+00,1.094867416804427285e-01
1.024366856493930777e+00,3.703503257414394456e-01,1.055496579654243261e+00,9.547944312273691503e-02
1.020426849758927501e+00,3.636305070199051248e-01,1.039857736702212376e+00,7.924019204663458604e-02
1.015889155042532854e+00,3.561501029214137470e-01,1.024581357232186019e+00,6.265103573685301686e-02
1.014829384193406847e+00,3.542145571206349874e-01,1.019790718016490461e+00,4.764193750125114007e-02
1.012826369976972174e+00,3.500136683648236713e-01,1.007554422271927264e+00,3.191852435190031811e-02
1.008987659212568833e+00,3.450569271841087415e-01,9.914628961847323785e-01,1.513732337267902420e-02
1.005659579357053968e+00,3.426484207913992330e-01,9.796613802457769804e-01,1.548093498405663480e-04
1.003806006308596288e+00,3.423511362163401683e-01,9.699963402901616849e-01,-1.335713515858719634e-02
9.978697666833427071e-01,3.363207897969461291e-01,9.493354779184328684e-01,-2.610628661584941945e-02
9.933072430634476424e-01,3.351345683691905331e-01,9.319266691300621686e-01,-4.110844537773663404e-02
9.912269517063139190e-01,3.347284723146648489e-01,9.215442807160163508e-01,-5.286858586450043918e-02
